Postal Code,Sales
N7L,114032
N7M,795124
N7S,56625
N7T,34900
N7V,11097
N7W,414880
N7X,450046
N8A,92696
N8H,656372
N8M,3231275
N8N,34440
N8P,318482
N8R,270402
N8S,315682
N8T,927011
N8V,102951
N8W,45516
N8X,275842
N8Y,165914
N9A,161504
N9B,346560
N9C,28761
N9E,406061
N9G,55599
N9H,77281
N9J,288135
N9K,100963
N9V,438474
N9Y,29248
P0A,104822
P0B,241272
P0C,87474
P0E,97623
P0G,391232
P0H,14252
P0J,1629516
P0K,284996
P0L,95071
P0M,113482
P0N,366954
P0P,108723
P0R,65331
P0S,797765
P0T,108879
P0V,35168
P0W,22503
P0X,2076529
P0Y,30661
P1A,423196
P1B,71278
P1C,186464
P1H,105241
P1L,539560
P1P,157624
P2A,234392
P2B,362864
P2N,60765
P3A,45946
P3B,144525
P3C,164541
P3E,179098
P3G,13786650
P3L,486534
P3N,795601
P3P,787362
P3Y,51258
P4N,48573
P4P,236959
P4R,41706
P5A,114760
P5E,159999
P5N,11701
P6A,105616
P6B,57311
P6C,942333
P7A,73543
P7B,106488
P7C,163851
P7E,956887
P7G,63447
P7J,12215
P7K,49546
P8N,13165
P8T,1024032
P9A,49117
P9N,898760
C0A,54951
C0B,668961
C1A,280208
C1B,19798
C1C,20385
C1E,37193
C1N,826677
G0A,282067
G0B,34408
G0C,107467
G0E,56186
G0G,107317
G0H,162896
G0J,165825
G0K,123959
G0L,18157
G0M,773303
G0N,108473
G0P,91129
G0R,73467
G0S,98180
G0T,334252
G0V,13241714
G0W,2611155
G0X,802774
G0Y,372026
G0Z,47731
G1A,83737
G1B,85471
G1C,606006
G1E,28814
G1G,1269945
G1H,94558
G1J,177970
G1K,484616
G1L,114395
G1M,253686
G1N,512457
G1P,18162
G1R,40526
G1S,60827
G1T,67584
G1V,19604
G1W,60067
G1X,22038
G1Y,46138
G2A,62933
G2B,37666
G2C,28723
G2E,582972
G2G,612167
G2J,20812
G2K,248946
G2L,180916
G2M,311873
G2N,417492
G3A,179948
G3E,436947
G3G,53066
G3H,43010
G3J,12635
G3K,1275404
G3L,104937
G3M,35520
G3Z,38499
G4A,30274
G4R,622781
G4S,352768
G4T,288295
G4V,528852
G4W,24797
G4X,13049
G4Z,289828
G5A,170184
G5B,278000
G5C,46927
G5H,61499
G5J,206730
G5L,1859896
G5M,55023
G5N,52329
G5R,44248
G5T,1932035
G5V,21503
G5X,40341
G5Y,80850
G5Z,67253
G6A,317738
G6B,1033202
G6C,379480
G6E,103246
G6G,34113
G6H,25698
G6J,197053
G6K,1443424
G6L,119175
G6P,195125
G6R,33203
G6S,199910
G6T,322757
G6V,154116
G6W,70574
G6X,94677
G6Z,73962
G7A,56073
G7B,40005
G7G,54287
G7H,20648
G7J,599419
G7K,143180
G7N,559089
G7P,122307
G7S,464440
G7T,212030
G7X,54821
G7Y,178015
G7Z,31949
G8A,109643
G8B,395788
G8C,558368
G8E,13431
G8G,99031
G8H,83721
G8J,184305
G8K,87350
G8L,555722
G8M,688635
G8N,12687
G8P,76064
G8T,107122
G8V,13650
G8W,114032
G8Y,795124
G8Z,56625
G9A,34900
G9B,11097
G9C,414880
G9H,450046
G9N,92696
G9P,656372
G9R,3231275
G9T,34440
G9X,318482
H0H,270402
H0M,315682
H1A,927011
H1B,102951
H1C,45516
H1E,275842
H1G,165914
H1H,161504
H1J,346560
H1K,28761
H1L,406061
H1M,55599
H1N,77281
H1P,288135
H1R,100963
H1S,438474
H1T,29248
H1V,104822
H1W,241272
H1X,87474
H1Y,97623
H1Z,391232
H2A,14252
H2B,1629516
H2C,284996
H2E,95071
H2G,113482
H2H,366954
H2J,108723
H2K,65331
H2L,797765
H2M,108879
H2N,35168
H2P,22503
H2R,2076529
H2S,30661
H2T,423196
H2V,71278
H2W,186464
H2X,105241
H2Y,539560
H2Z,157624
H3A,234392
H3B,362864
H3C,60765
H3E,45946
H3G,144525
H3H,164541
H3J,179098
H3K,13786650
H3L,486534
H3M,795601
H3N,787362
H3P,51258
H3R,48573
H3S,236959
H3T,41706
H3V,114760
H3W,159999
H3X,11701
H3Y,105616
H3Z,57311
H4A,942333
H4B,73543
H4C,106488
H4E,163851
H4G,956887
H4H,63447
H4J,12215
H4K,49546
H4L,13165
H4M,1024032
H4N,49117
H4P,898760
H4R,54951
H4S,668961
H4T,280208
H4V,19798
H4W,20385
H4X,37193
H4Y,826677
H4Z,282067
H5A,34408
H5B,107467
H7A,56186
H7B,107317
H7C,162896
H7E,165825
H7G,123959
H7H,18157
H7J,773303
H7K,108473
H7L,91129
H7M,73467
H7N,98180
H7P,334252
H7R,13241714
H7S,2611155
H7T,802774
H7V,372026
H7W,47731
H7X,83737
H7Y,85471
H8N,606006
H8P,28814
H8R,1269945
H8S,94558
H8T,177970
H8Y,484616
H8Z,114395
H9A,253686
H9B,512457
H9C,18162
H9E,40526
H9G,60827
H9H,67584
H9J,19604
H9K,60067
H9P,22038
H9R,46138
H9S,62933
H9W,37666
H9X,28723
J0A,582972
J0B,612167
J0C,20812
J0E,248946
J0G,180916
J0H,311873
J0J,417492
J0K,179948
J0L,436947
J0M,53066
J0N,43010
J0P,12635
J0R,1275404
J0S,104937
J0T,35520
J0V,38499
J0W,30274
J0X,622781
J0Y,352768
J0Z,288295
J1A,528852
J1E,24797
J1G,13049
J1H,289828
J1J,170184
J1K,278000
J1L,46927
J1M,61499
J1N,206730
J1S,1859896
J1T,55023
J1X,52329
J1Z,44248
J2A,1932035
J2B,21503
J2C,40341
J2E,80850
J2G,67253
J2H,317738
J2J,1033202
J2K,379480
J2L,103246
J2N,34113
J2R,25698
J2S,197053
J2T,1443424
J2W,119175
J2X,195125
J2Y,33203
J3A,199910
J3B,322757
J3E,154116
J3G,70574
J3H,94677
J3L,73962
J3M,56073
J3N,40005
J3P,54287
J3R,20648
J3T,599419
J3V,143180
J3X,559089
J3Y,122307
J3Z,464440
J4B,212030
J4G,54821
J4H,178015
J4J,31949
J4K,109643
J4L,395788
J4M,558368
J4N,13431
J4P,99031
J4R,83721
J4S,184305
J4T,87350
J4V,555722
J4W,688635
J4X,12687
J4Y,76064
J4Z,107122
J5A,13650
J5B,114032
J5J,795124
J5K,56625
J5L,34900
J5M,11097
J5R,414880
J5T,450046
J5V,92696
J5W,656372
J5X,3231275
J5Y,34440
J5Z,318482
J6A,270402
J6E,315682
J6J,927011
J6K,102951
J6N,45516
J6R,275842
J6S,165914
J6T,161504
J6V,346560
J6W,28761
J6X,406061
J6Y,55599
J6Z,77281
J7A,288135
J7B,100963
J7C,438474
J7E,29248
J7G,104822
J7H,241272
J7J,87474
J7K,97623
J7L,391232
J7M,14252
J7N,1629516
J7P,284996
J7R,95071
J7T,113482
J7V,366954
J7X,108723
J7Y,65331
J7Z,797765
J8A,108879
J8B,35168
J8C,22503
J8E,2076529
J8G,30661
J8H,423196
J8L,71278
J8M,186464
J8N,105241
J8P,539560
J8R,157624
J8T,234392
J8V,362864
J8X,60765
J8Y,45946
J8Z,144525
J9A,164541
J9B,179098
J9E,13786650
J9H,486534
J9J,795601
J9L,787362
J9P,51258
J9T,48573
J9V,236959
J9X,41706
J9Y,114760
J9Z,159999
S0A,11701
S0C,105616
S0E,57311
S0G,942333
S0H,73543
S0J,106488
S0K,163851
S0L,956887
S0M,63447
S0N,12215
S0P,49546
S2V,13165
S3N,1024032
S4A,49117
S4H,898760
S4L,54951
S4N,668961
S4P,280208
S4R,19798
S4S,20385
S4T,37193
S4V,826677
S4W,282067
S4X,34408
S4Y,107467
S4Z,56186
S6H,107317
S6J,162896
S6K,165825
S6V,123959
S6W,18157
S6X,773303
S7H,108473
S7J,91129
S7K,73467
S7L,98180
S7M,334252
S7N,13241714
S7P,2611155
S7R,802774
S7S,372026
S7T,47731
S7V,83737
S9A,85471
S9H,606006
S9V,28814
S9X,1269945
Y0A,94558
Y0B,177970
Y1A,484616
